cwe,richness,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,L1.name,L2.name,L3.name,geometry
0.00438054,21,14.065458297729492,22.357666015625,6.743500232696533,1024,186,4,83.69598388671875,507,19,31,500,14.875750541687012,46.547813415527344,644.9017333984375,32.790000915527344,0.8320000171661377,31.95800018310547,7.785333156585693,21.962499618530273,Northwestern forested mountains,Western cordillera,Sierra nevada,"c(-52500, 37500)"
0.008705049,23,12.73104190826416,21.13399887084961,5.394333362579346,1176,208,5,82.31266784667969,570,25,37,570,14.695082664489746,45.95660400390625,651.02386474609375,31.520999908447266,-0.45500001311302185,31.97599983215332,5.394333362579346,20.768999099731445,Northwestern forested mountains,Western cordillera,Sierra nevada,"c(-37500, 37500)"
0.007433543,6,9.3357086181640625,17.678998947143555,2.2798333168029785,1287,233,7,81.88201904296875,634,34,44,634,13.472583770751951,44.374637603759766,645.82940673828125,27.309999465942383,-3.050999879837036,30.361000061035156,2.2798333168029785,17.521499633789062,Northwestern forested mountains,Western cordillera,Sierra nevada,"c(-22500, 37500)"
0.01334648,17,7.003333568572998,15.513500213623049,-0.0639999732375145,1067,192,10,78.21508026123047,520,42,49,517,13.928333282470703,44.62921905517578,651.50262451171875,25.25200080871582,-5.956999778747559,31.208999633789062,0.49333325028419495,15.23133373260498,Northwestern forested mountains,Western cordillera,Sierra nevada,"c(-7500, 37500)"
0.037337521,79,5.815958499908447,14.57900047302246,-1.5643333196640017,803,142,12,72.83496856689453,384,45,50,384,14.861083984375,45.12931442260742,669.23028564453125,24.80500030517578,-8.125,32.93000030517578,-1.5643333196640017,14.20566749572754,Northwestern forested mountains,Western cordillera,Sierra nevada,"c(7500, 37500)"
0.03963088,122,2.9751250743865967,11.67733383178711,-3.6088333129882817,784,135,17,67.50590515136719,364,59,64,364,14.578749656677246,45.01420211791992,639.4288330078125,21.70800018310547,-10.678999900817873,32.387001037597656,-3.6088333129882817,10.86050033569336,Northwestern forested mountains,Western cordillera,Sierra nevada,"c(22500, 37500)"
0.059513915,164,3.299333333969116,12.324166297912598,-4.138333320617676,624,106,17,64.211456298828125,286,56,60,286,15.913166999816896,46.01308822631836,677.6832275390625,23.104999542236328,-11.479000091552734,34.58399963378906,-4.138333320617676,11.751832962036133,Northwestern forested mountains,Western cordillera,Sierra nevada,"c(37500, 37500)"
0.055127961,32,3.852624893188477,12.802000045776367,-3.886833429336548,506,82,16,58.737579345703125,224,53,56,224,17.5454158782959,48.49747467041016,686.0677490234375,24.25,-11.928000450134276,36.178001403808594,-3.886833429336548,12.376166343688965,North american deserts,Cold deserts,Central basin and range,"c(52500, 37500)"
0.009130007,4,5.893499851226807,15.024499893188477,-2.2676665782928467,327,51,14,48.749298095703125,138,47,47,138,18.599166870117188,49.201541900634766,714.1529541015625,27.1200008392334,-10.682000160217283,37.802001953125,-2.2676665782928467,15.024499893188477,North american deserts,Cold deserts,Central basin and range,"c(67500, 37500)"
0.016515111,12,13.958958625793455,18.61750030517578,9.441166877746582,983,206,2,93.54240417480467,542,12,18,542,13.758583068847656,58.36338424682617,375.0479431152344,27.15399932861328,3.5799999237060547,23.573999404907227,9.441166877746582,17.985666275024414,Mediterranean california,Mediterranean california,"California coastal sage, chaparral, and oak woodlands","c(-247500, 22500)"
0.010114335,8,14.862250328063965,20.105667114257812,9.560500144958496,807,170,1,94.02880096435548,449,9,14,449,14.502666473388672,56.10099029541016,433.10443115234375,29.29800033569336,3.447000026702881,25.85099983215332,9.560500144958496,19.736167907714844,Mediterranean california,Mediterranean california,"California coastal sage, chaparral, and oak woodlands","c(-232500, 22500)"
0.016038962,12,15.154833793640137,20.811166763305664,9.35883331298828,772,164,1,94.67176055908205,432,7,12,432,15.029166221618652,54.721160888671875,471.4928588867187,30.46500015258789,3,27.46500015258789,9.35883331298828,20.51166725158691,Mediterranean california,Mediterranean california,"California coastal sage, chaparral, and oak woodlands","c(-217500, 22500)"
0.005942274,6,15.18891716003418,20.68916702270508,9.162166595458984,685,146,1,93.8022232055664,380,7,12,380,14.041833877563477,52.73531723022461,477.4031372070313,29.905000686645508,3.2780001163482666,26.62700080871582,9.162166595458984,20.598167419433594,Mediterranean california,Mediterranean california,"California coastal sage, chaparral, and oak woodlands","c(-202500, 22500)"
0.022297876,57,15.497207641601562,21.509166717529297,9.002500534057617,603,133,1,95.32560729980467,339,6,11,339,14.395583152770996,51.28458404541016,516.9681396484375,31.066999435424805,2.996999979019165,28.06999969482422,9.002500534057617,21.32466697692871,Mediterranean california,Mediterranean california,"California coastal sage, chaparral, and oak woodlands","c(-187500, 22500)"
0.019356564,20,15.49187469482422,21.437999725341797,8.905500411987305,513,116,1,95.20075225830078,290,6,10,290,13.934749603271484,50.30777359008789,518.34625244140625,31.038999557495117,3.3399999141693115,27.698999404907227,8.905500411987305,21.33816719055176,Mediterranean california,Mediterranean california,"California coastal sage, chaparral, and oak woodlands","c(-172500, 22500)"
0.027105987,3,15.756708145141602,22.311166763305664,8.60966682434082,448,101,1,93.58528900146484,252,6,10,252,14.570083618164062,49.00966262817383,567.68414306640625,32.34700012207031,2.618000030517578,29.729000091552734,8.60966682434082,22.177499771118164,Mediterranean california,Mediterranean california,"California coastal sage, chaparral, and oak woodlands","c(-157500, 22500)"
0.025649528,29,15.475250244140623,21.644166946411133,8.478333473205566,409,90,1,91.32032012939452,225,6,6,224,14.052833557128906,49.33934783935547,547.21539306640625,31.152999877929688,2.6710000038146973,28.48200035095215,10.17549991607666,21.644166946411133,Mediterranean california,Mediterranean california,Central california valley,"c(-142500, 22500)"
0.005117558,6,15.515666961669922,21.79050064086914,8.4089994430542,420,89,1,90.31370544433594,231,6,6,226,14.369166374206545,49.86350631713867,557.119873046875,31.458999633789062,2.6419999599456787,28.816999435424805,10.138999938964844,21.79050064086914,Mediterranean california,Mediterranean california,Central california valley,"c(-127500, 22500)"
0.021704359,8,15.718416213989258,22.67449951171875,8.293333053588867,468,95,2,88.42048645019531,255,8,8,244,14.676166534423828,47.90966033935547,595.09014892578125,32.91600036621094,2.2829999923706055,30.632999420166016,10.05299949645996,22.67449951171875,Mediterranean california,Mediterranean california,Central california valley,"c(-112500, 22500)"
0.013237642,7,15.987249374389648,23.40633201599121,8.302999496459961,496,98,2,87.394805908203125,267,8,8,253,15.118332862854004,47.2950439453125,624.71624755859375,34.12799835205078,2.1619999408721924,31.96599769592285,10.001500129699709,23.40633201599121,Mediterranean california,Mediterranean california,Central california valley,"c(-97500, 22500)"
